lead_id,database_score,converted,record_created_date,conversion_date,country,job_level,in_outreach_window_cohort,converted_seniority_cohort,channel_a_connected,converted_channel_a,channel_a_total_calls,channel_a_connected_seconds,in_channel_b_cohort,channel_b_connected,converted_channel_b,channel_b_total_calls,channel_b_connected_seconds
1,74.8,0,2023-03-11,,Indonesia,Individual Contributor,0,0,0,0,2,0.0,0,0,0,1,0.0
2,74.3,0,2021-11-12,,Singapore,Unknown,0,0,0,0,0,0.0,0,0,0,2,0.0
3,78.3,0,2024-11-29,,Malaysia,Individual Contributor,0,0,0,0,2,0.0,0,0,0,0,0.0
4,74.1,0,2024-04-07,,India,Unknown,0,0,0,0,4,0.0,1,1,0,1,26.6
5,77.8,0,2022-02-05,,Malaysia,Manager,0,0,0,0,1,0.0,0,0,0,3,0.0
6,70.0,0,2023-09-26,,Singapore,Individual Contributor,1,0,1,0,3,41.6,0,0,0,1,0.0
7,91.7,1,2022-04-30,2022-05-01,Australia,Executive,1,0,1,1,6,57.3,0,0,0,0,0.0
8,73.7,0,2025-05-06,,Hong Kong,Individual Contributor,0,0,0,0,1,0.0,0,0,0,4,0.0
9,73.0,0,2020-08-28,,Indonesia,Director,1,0,0,0,2,0.0,0,0,0,1,0.0
10,70.9,0,2025-07-30,,Philippines,Manager,1,1,0,0,3,0.0,0,0,0,1,0.0
11,74.8,0,2025-07-17,,Australia,Unknown,0,0,0,0,1,0.0,0,0,0,1,0.0
12,70.9,0,2022-03-11,,Singapore,C-Level,0,0,0,0,1,0.0,0,0,0,0,0.0
13,68.7,0,2025-04-11,,Malaysia,Individual Contributor,1,0,0,0,0,0.0,0,0,0,4,0.0
14,73.2,0,2025-08-01,,Singapore,Manager,0,0,0,0,1,0.0,0,0,0,0,0.0
15,68.0,0,2019-12-09,,Hong Kong,Individual Contributor,0,0,0,0,1,0.0,0,0,0,2,0.0
16,89.7,1,2021-04-01,2021-04-30,Philippines,Unknown,0,1,0,0,2,0.0,0,0,0,0,0.0
17,75.4,0,2020-04-18,,India,Manager,0,0,0,0,1,0.0,1,1,0,2,31.0
